epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6087986826896667,0.0010000000474974513,1.3390789031982422,0.8245856165885925,0.9892067313194275
1,0.7076729536056519,0.0010000000474974513,1.0809030532836914,0.8515193462371826,0.9089095592498779
2,0.7309287786483765,0.0010000000474974513,1.0234951972961426,0.8508287072181702,0.8997538685798645
3,0.7476670145988464,0.0010000000474974513,0.9967210292816162,0.8598066568374634,0.878633975982666
4,0.7546289563179016,0.0010000000474974513,0.9675946235656738,0.8570442199707031,0.8631782531738281
5,0.7596652507781982,0.0010000000474974513,0.960720419883728,0.8677486181259155,0.843854546546936
6,0.770182192325592,0.0010000000474974513,0.9449239373207092,0.8777624368667603,0.8296791315078735
7,0.7699599862098694,0.0010000000474974513,0.9410600662231445,0.8753452897071838,0.8295239806175232
8,0.7720337510108948,0.0010000000474974513,0.937147855758667,0.8784530162811279,0.8365970253944397
9,0.7669234275817871,0.0010000000474974513,0.9424181580543518,0.8725828528404236,0.836072564125061
10,0.7808473110198975,0.0010000000474974513,0.9245901703834534,0.8781077265739441,0.8138055801391602
11,0.775736927986145,0.0010000000474974513,0.9267673492431641,0.8722375631332397,0.8276271224021912
12,0.7758850455284119,0.0010000000474974513,0.9255239367485046,0.8777624368667603,0.822208046913147
13,0.7821804285049438,0.0010000000474974513,0.9166131019592285,0.8808701634407043,0.8222397565841675
14,0.78840172290802,0.0003000000142492354,0.8959513306617737,0.8794889450073242,0.8125260472297668
